id,dish_name,category,calories,price,remark
53,"醋溜大白菜","川湘菜",60,4.00,"清炒素菜"
54,"酸辣土豆丝","川湘菜",135,5.00,"碳水+素菜"
55,"手撕包菜","川湘菜",90,5.00,"清炒素菜"
56,"麻婆豆腐","川湘菜",195,7.00,"豆制品+红油"
57,"肉末粉条","川湘菜",265,8.00,"碳水+肉末"
58,"酸菜鱼","川湘菜",300,12.00,"鱼肉+低脂汤"
59,"重庆口水鸡","川湘菜",375,10.00,"红油肉类"
60,"川味回锅肉","川湘菜",375,10.00,"高油肉类"
61,"川味粉蒸排骨","川湘菜",375,11.00,"高油肉类"
62,"麻辣猪耳","川湘菜",375,10.00,"红油肉类"
63,"孜然猪肝","川湘菜",265,8.00,"动物内脏"
64,"姜葱鸡片","川湘菜",265,8.00,"低脂肉类"
65,"酱炒爽肉","川湘菜",315,9.00,"酱炒肉类"
66,"泡椒鸭胗","川湘菜",315,9.00,"低脂肉类"
67,"麻辣牛肉","川湘菜",400,12.00,"牛肉+红油"
68,"风味椒麻鸡","川湘菜",400,11.00,"鸡肉+红油"
69,"川湘牛肉","川湘菜",400,12.00,"牛肉+红油"
70,"绿豆糖水","晚餐糖水",70,3.00,"低糖糖水"
71,"糯米红豆粥","晚餐糖水",165,4.00,"碳水+粗粮"
72,"香芋西米露","晚餐糖水",200,5.00,"碳水+甜品"
73,"清炒小白菜","大众素食",30,3.00,"清炒绿叶菜"
74,"清炒包菜","大众素食",30,3.00,"清炒素菜"
75,"清炒冬瓜","大众素食",30,3.00,"清炒瓜类"
76,"煮鸡蛋","大众素食",75,1.50,"水煮低脂"
77,"荷包蛋","大众素食",100,2.00,"煎制高油"
78,"卤鸡蛋","大众素食",85,1.50,"卤制低脂"
79,"茶叶蛋","大众素食",85,1.50,"卤制低脂"
80,"清炒上海青","大众素食",40,3.00,"清炒绿叶菜"
81,"清炒油麦菜","大众素食",40,3.00,"清炒绿叶菜"
82,"清炒生菜","大众素食",40,3.00,"清炒绿叶菜"
83,"素炒南瓜","大众素食",70,3.00,"蒸煮素菜"
84,"蒸水蛋","大众素食",70,4.00,"蒸制低脂"
85,"清炒大白菜","大众素食",50,3.00,"清炒素菜"
86,"素炒西兰花","大众素食",50,4.00,"清炒素菜"
87,"素炒黑木耳","大众素食",50,4.00,"菌菇素菜"
88,"素炒海带","大众素食",50,3.00,"海藻类素菜"
89,"虎皮尖椒","大众素食",50,4.00,"煎制素菜"
90,"炒玉米粒","大众素食",135,4.00,"粗粮素菜"
91,"孜然土豆","大众素食",115,4.00,"碳水+素菜"
92,"地三鲜","大众素食",195,6.00,"高油素菜"
93,"西红柿炒蛋","大众蛋类",175,6.00,"鸡蛋+素菜"
94,"干煸豆角","大众蛋类",175,6.00,"鸡蛋+素菜"
95,"莴笋炒蛋","大众蛋类",175,6.00,"鸡蛋+素菜"
96,"肉沫麻婆豆腐","大众豆制品",225,7.00,"豆制品+肉末"
97,"肉沫红烧豆腐","大众豆制品",225,7.00,"豆制品+肉末"
98,"蒸蛋饺","大众豆制品",225,7.00,"蒸制蛋制品"
99,"韭菜肉片","大众肉片",220,7.00,"素菜+肉片"
100,"西芹肉片","大众肉片",220,7.00,"素菜+肉片"
101,"鱼香肉丝","大众肉片",220,8.00,"肉丝+素菜"
102,"蒸鸡腿","大众肉片",135,6.00,"蒸煮低脂"
103,"芥蓝炒肉","6元小炒",240,6.00,"素菜+肉片"
104,"蒜苔炒肉","6元小炒",240,6.00,"素菜+肉片"
105,"焖鸡","6元小炒",240,6.00,"焖制肉类"
106,"炸鸡腿","6元小炒",200,8.00,"油炸肉类"
107,"卤鸡腿","6元小炒",165,7.00,"卤制肉类"
108,"烤鸡腿","6元小炒",165,7.00,"烤制低脂"
109,"炒丸子","6元小炒",265,7.00,"淀粉+肉类"
110,"芋头丸子","6元小炒",265,7.00,"淀粉+肉类"
111,"蒸肉饼","6元小炒",265,7.00,"蒸制肉类"
112,"肉卷","6元小炒",265,7.00,"淀粉+肉类"
113,"宫保鸡丁","7-8元档",300,8.00,"鸡肉+素菜"
114,"辣子鸡","7-8元档",300,8.00,"高油鸡肉"
115,"鸡翅根","7-8元档",300,8.00,"鸡肉类"
116,"焖鸭","7-8元档",300,8.00,"焖制肉类"
117,"莲藕煲排骨","7-8元档",270,9.00,"蒸煮排骨"
118,"土豆蒸排骨","7-8元档",270,9.00,"蒸煮排骨"
119,"腐竹焖五花肉","7-8元档",340,10.00,"高油肉类"
120,"糖醋里脊","7-8元档",340,10.00,"高糖高油"
121,"白粥","基础早餐",35,1.00,"低脂主食"
122,"无糖豆浆","基础早餐",50,2.00,"低脂蛋白"
123,"炒河粉","基础早餐",135,6.00,"早餐主食"
124,"炒米粉","基础早餐",135,6.00,"早餐主食"
125,"煎蛋","基础早餐",95,1.50,"煎制高油"
126,"叉烧包","基础早餐",165,3.00,"甜面点"
127,"奶黄包","基础早餐",165,3.00,"甜面点"
128,"水饺","基础早餐",190,4.00,"蒸制面点"
129,"桂花糕","基础早餐",135,3.00,"含糖糕点"
130,"红豆糕","基础早餐",90,2.00,"含糖糕点"
131,"红枣糕","基础早餐",90,2.00,"含糖糕点"
132,"马拉糕","基础早餐",90,2.00,"蒸制糕点"
133,"香芋春卷","基础早餐",165,4.00,"油炸面点"
134,"芋丝饼","基础早餐",165,4.00,"油炸面点"
135,"红薯","基础早餐",115,1.00,"粗粮蒸煮"
136,"瘦肉肠粉+蛋","肠粉早餐",165,7.00,"蒸制低脂"
137,"烧鸭套餐","烧腊套餐",425,15.00,"含米饭+青菜"
138,"烤鸭腿套餐","烧腊套餐",425,16.00,"含米饭+青菜"
139,"烤鸡套餐","烧腊套餐",375,14.00,"含米饭+青菜"
140,"白切鸡套餐","烧腊套餐",375,14.00,"含米饭+青菜"
141,"梅肉大碗面","大碗面/粉",475,12.00,"主食+肉类"
142,"云吞大碗面","大碗面/粉",505,13.00,"主食+肉类"
143,"烧鸡大碗面","大碗面/粉",525,14.00,"主食+肉类"
144,"肥肠大碗面","大碗面/粉",575,15.00,"高油肉类"
145,"卤味牛肉大碗面","大碗面/粉",500,14.00,"低脂肉类"
146,"奥尔良鸡扒","炸酱盖浇面",165,8.00,"煎制肉类"
147,"黑椒猪扒","炸酱盖浇面",215,10.00,"高油肉类"
148,"炸酱面","炸酱盖浇面",375,10.00,"高油主食"
149,"西红柿牛腩面","炸酱盖浇面",425,12.00,"主食+肉类"
150,"麻辣仔鸡拌面","炸酱盖浇面",475,12.00,"高油主食"
151,"黑椒牛肉拌面","炸酱盖浇面",505,13.00,"高油主食"
152,"烤鸡腿","炸酱盖浇面",165,7.00,"烤制低脂"
153,"热狗肠","炸酱盖浇面",165,3.00,"加工肉类"
154,"加面","炸酱盖浇面",175,2.00,"额外主食"
155,"韭菜猪肉水饺","抄手/水饺",375,10.00,"主食+肉类"
156,"白菜猪肉水饺","抄手/水饺",375,10.00,"主食+肉类"
157,"红油抄手","抄手/水饺",425,11.00,"高油面点"
158,"清汤抄手","抄手/水饺",325,10.00,"低脂面点"
159,"金针菇抄手","抄手/水饺",445,12.00,"素菜+面点"
160,"瘦肉抄手","抄手/水饺",400,11.00,"低脂肉类"
161,"酸菜五花肉煲","煲仔菜",375,12.00,"高油肉类"
162,"沙姜鸡煲","煲仔菜",325,11.00,"低脂肉类"
163,"萝卜牛腩煲","煲仔菜",405,13.00,"肉类+素菜"
164,"红烧排骨煲","煲仔菜",405,13.00,"肉类+素菜"
165,"港式羊肉煲","煲仔菜",475,18.00,"高油肉类"
166,"辣子鸡套餐","特色小炒",375,12.00,"含米饭"
167,"爆炒茄子套餐","特色小炒",375,11.00,"含米饭"
168,"鱼香肉丝套餐","特色小炒",375,11.00,"含米饭"
169,"家常豆腐套餐","特色小炒",375,11.00,"含米饭"
170,"小炒肉套餐","特色小炒",375,12.00,"含米饭"
171,"滑蛋瘦肉套餐","特色小炒",325,11.00,"含米饭"
172,"野山椒炒牛肉套餐","特色小炒",425,14.00,"含米饭"
173,"咖喱牛肉套餐","特色小炒",425,14.00,"含米饭"
174,"爆炒牛肉套餐","特色小炒",425,14.00,"含米饭"
175,"滑蛋牛肉套餐","特色小炒",425,14.00,"含米饭"
176,"瘦肉炒米粉","现炒粉面",325,8.00,"主食+肉类"
177,"瘦肉炒河粉","现炒粉面",325,8.00,"主食+肉类"
178,"瘦肉炒面","现炒粉面",325,8.00,"主食+肉类"
179,"牛肉炒米粉","现炒粉面",345,10.00,"主食+肉类"
180,"牛肉炒河粉","现炒粉面",345,10.00,"主食+肉类"
181,"牛肉炒面","现炒粉面",345,10.00,"主食+肉类"
182,"黑椒猪肉炒乌冬面","现炒粉面",405,11.00,"高碳主食"
183,"黑椒牛肉炒乌冬面","现炒粉面",425,12.00,"高碳主食"
184,"加鸡蛋","现炒粉面",75,1.00,"水煮低脂"
185,"加粉/面","现炒粉面",175,2.00,"额外主食"


